 
2,026 Rindal	63°02′32″N	09°17′22″E
74,541 Tromsø	69°40′58″N	18°56′34″E
24,845 Harstad	68°48′00″N	16°32′45″E
20,446 Alta	69°58′36″N	23°17′45″E
2,104 Vardø	70°22′14″N	31°01′27″E
6,154 Vadsø	70°04′24″N	29°44′59″E
10,527 Hammerfest	70°39′45″N	23°41′00″E
2,986 Kvæfjord	68°42′07″N	16°08′49″E
4,243 Tjeldsund	68°29′04″N	16°17′33″E
1,394 Ibestad	68°49′46″N	17°14′45″E
1,121 Gratangen	68°41′24″N	17°32′30″E
1,076 Lavangen	68°39′28″N	17°35′01″E
3,994 Bardu	68°51′51″N	18°21′10″E
2,220 Salangen	68°54′02″N	17°53′35″E
6,781 Målselv	68°58′30″N	19°03′52″E
3,496 Sørreisa	69°05′31″N	18°11′37″E
1,138 Dyrøy	69°04′01″N	17°44′29″E
14,930 Senja	69°04′50″N	16°48′11″E
5,685 Balsfjord	69°18′17″N	19°12′13″E
2,273 Karlsøy	70°07′48″N	19°25′51″E
2,876 Lyngen	69°41′25″N	20°04′54″E
1,890 Storfjord	69°16′43″N	20°17′12″E
2,132 Kåfjord	69°36′14″N	20°31′57″E
2,912 Skjervøy	70°05′07″N	20°39′34″E
4,919 Nordreisa	69°42′18″N	21°12′33″E
1,233 Kvænangen	69°53′39″N	21°58′49″E
2,938 Kautokeino	69°00′42″N	23°02′36″E
968 Loppa	70°14′22″N	22°20′55″E
1,037 Hasvik	70°35′30″N	22°18′10″E
1,204 Måsøy	70°59′48″N	24°39′41″E
3,276 Nordkapp	70°58′41″N	25°58′29″E
3,971 Porsanger	70°03′08″N	24°57′21″E
2,696 Karasjok	69°28′55″N	25°06′18″E
1,330 Lebesby	70°56′43″N	27°21′04″E
1,137 Gamvik	71°02′28″N	27°51′05″E
991 Berlevåg	70°51′29″N	29°05′06″E
2,911 Tana	70°11′58″N	28°11′09″E
951 Nesseby	70°10′24″N	28°33′13″E
2,267 Båtsfjord	70°38′07″N	29°43′15″E
10,199 Sør-Varanger	69°43′43″N	30°02′30″E
 
